Timestamp [ms],Force Sensor (RL) [V],Force Sensor (LL) [V],EMG (RL) [V],EMG (LL) [V]
0,2.350928641251222,2.233626588465298,2.09188660801564,2.0625610948191593
33,2.0527859237536656,2.09188660801564,2.0527859237536656,2.043010752688172
65,1.9257086999022484,1.9745845552297165,1.9794721407624634,1.9843597262952102
96,1.8572825024437927,1.8866080156402738,1.9012707722385143,1.9208211143695015
126,1.8084066471163245,1.823069403714565,1.8328445747800586,1.847507331378299
158,1.7644183773216031,1.7741935483870968,1.7741935483870968,1.7839687194525904
189,1.7350928641251222,1.7350928641251222,1.7350928641251222,1.739980449657869
222,1.7057673509286413,1.710654936461388,1.7057673509286413,1.710654936461388
255,1.6813294232649072,1.686217008797654,1.6813294232649072,1.686217008797654
285,1.6666666666666667,1.6715542521994136,1.6666666666666667,1.6715542521994136
323,1.6422287390029326,1.6471163245356795,1.6471163245356795,1.6520039100684263
353,1.632453567937439,1.6373411534701858,1.632453567937439,1.6373411534701858
383,1.6471163245356795,1.6520039100684263,1.6471163245356795,1.6471163245356795
414,1.6520039100684263,1.656891495601173,1.6520039100684263,1.6520039100684263
444,1.6422287390029326,1.6422287390029326,1.6373411534701858,1.6373411534701858
479,1.6422287390029326,1.6373411534701858,1.632453567937439,1.632453567937439
509,1.598240469208211,1.598240469208211,1.5933528836754642,1.5884652981427174
540,1.5689149560117301,1.573802541544477,1.5640273704789833,1.5640273704789833
570,1.5542521994134897,1.5591397849462365,1.5542521994134897,1.5542521994134897
598,1.5395894428152492,1.5493646138807429,1.5493646138807429,1.5493646138807429
628,1.5347018572825024,1.5395894428152492,1.5395894428152492,1.5395894428152492
660,1.5102639296187683,1.520039100684262,1.5151515151515151,1.520039100684262
688,1.5053763440860215,1.5053763440860215,1.5004887585532747,1.5004887585532747
719,1.5004887585532747,1.5053763440860215,1.5004887585532747,1.5004887585532747
758,1.490713587487781,1.4956011730205279,1.4956011730205279,1.4956011730205279
790,1.490713587487781,1.4956011730205279,1.490713587487781,1.4956011730205279
822,1.4858260019550342,1.4858260019550342,1.4858260019550342,1.4858260019550342
853,1.4809384164222874,1.4858260019550342,1.4809384164222874,1.4809384164222874
883,1.4809384164222874,1.4858260019550342,1.4858260019550342,1.4858260019550342
914,1.4809384164222874,1.4858260019550342,1.4858260019550342,1.4858260019550342
