v1,v2,v3
25,135,49
26,141,49
28,140,50
26,130,49
29,138,48
28,142,50
27,140,49
26,139,48
28,145,48
28,152,50
27,149,51
29,143,49
27,142,48
26,140,48
25,143,49
27,141,50
29,120,46
27,119,46
29,116,45
28,119,47
27,119,47
28,122,47
28,120,49
25,119,47
28,123,48
27,116,47
28,113,48
28,110,49
28,112,48
27,113,48
27,112,48
27,110,48
27,108,50
28,106,49
27,111,51
28,111,51
27,111,50
28,103,52
27,109,50
27,105,51
26,110,50
27,112,51
24,109,51
27,110,52
27,103,51
27,104,49
26,110,52
27,100,53
28,101,52
27,106,51
27,105,51
26,103,53
26,104,51
26,108,50
26,111,53
28,104,53
28,110,54
27,110,51
26,111,52
28,110,52
28,107,53
29,113,52
26,108,50
27,104,50
28,108,52
26,108,51
26,110,52
27,103,52
27,108,53
28,103,51
27,106,50
27,107,52
28,108,52
27,105,52
28,102,50
27,113,50
27,117,49
27,109,51
26,106,50
26,106,49
27,109,50
28,110,49
27,104,50
27,109,50
28,106,50
26,108,50
26,108,51
27,110,51
28,112,48
27,117,49
28,121,51
28,121,48
27,123,47
29,119,50
28,120,50
29,120,50
27,121,48
26,123,49
27,115,51
27,123,50
29,127,48
28,131,47
29,125,47
27,129,48
26,136,48
27,131,48
27,114,61
27,121,62
29,112,62
28,114,60
28,118,61
28,116,61
27,127,63
26,124,62
28,117,62
29,127,61
28,118,60
27,122,60
26,123,61
28,125,60
27,124,59
27,114,60
27,122,59
27,121,59
26,121,58
27,126,57
27,127,57
28,128,58
28,129,56
28,118,58
27,124,57
29,120,57
27,120,55
28,118,57
28,124,56
26,126,56
27,119,54
28,125,55
27,121,54
28,122,54
28,124,55
27,119,54
26,102,53
28,123,55
27,118,53
28,122,52
28,117,53
27,127,51
26,128,52
27,120,53
24,120,52
28,116,51
26,118,51
28,118,51
27,119,52
27,126,50
28,115,51
26,121,52
27,119,49
27,116,51
28,116,50
27,109,50
26,122,50
27,123,52
28,120,51
27,126,50
27,117,50
27,123,49
26,127,51
26,129,50
27,132,49
29,122,51
28,126,50
27,127,49
25,129,48
27,130,50
28,123,48
27,130,49
29,127,48
29,129,48
28,131,48
27,131,49
29,133,49
28,136,49
27,134,49
27,135,49
28,128,49
28,136,49
28,127,48
28,120,50
29,121,48
26,126,49
29,125,50
27,128,49
27,131,48
28,136,50
29,97,54
27,100,57
28,98,54
27,99,37
27,99,55
27,100,54
28,101,53
28,94,54
28,91,54
29,95,53
29,101,53
27,101,53
28,101,53
26,101,54
28,96,53
27,90,52
26,93,50
29,91,51
26,97,53
26,101,50
27,96,50
28,98,51
27,93,50
28,89,51
29,94,51
28,88,48
28,92,48
27,94,48
27,93,49
26,89,49
29,91,49
29,96,47
27,93,48
28,90,48
26,94,49
28,93,48
28,95,47
27,97,50
28,94,49
27,93,50
26,93,50
28,99,49
29,99,49
29,91,49
28,92,50
27,93,51
27,95,46
29,101,53
27,98,53
28,100,52
28,104,52
25,101,54
28,98,55
27,99,54
26,101,54
26,97,54
26,97,55
29,99,55
27,93,54
27,98,56
27,100,56
27,99,55
29,100,57
28,99,57
28,101,57
28,100,55
27,101,44
27,100,56
27,95,57
27,97,56
29,95,57
27,100,55
27,102,58
26,109,57
26,100,56
27,106,55
26,100,55
28,107,57
27,104,56
27,104,56
29,102,58
28,111,56
25,117,56
28,105,55
29,106,56
27,112,56
27,112,55
27,114,56
28,116,55
28,117,54
28,109,54
28,104,53
27,99,56
28,96,55
28,102,53
27,113,54
29,108,53
26,107,54
27,107,55
28,105,53
27,103,54
28,97,51
25,100,51
26,100,52
28,99,51
31,100,52
26,98,50
27,106,49
27,109,51
26,107,49
27,103,51
26,103,50
28,101,49
26,105,49
26,104,50
27,104,50
26,101,48
25,103,48
27,98,49
28,95,48
26,102,48
27,98,49
28,95,49
28,93,50
27,97,48
27,94,44
26,97,47
27,97,48
26,95,49
27,99,49
27,96,47
27,99,49
26,105,48
28,110,48
28,116,49
28,114,50
26,110,51
28,108,50
28,104,51
24,105,51
27,108,52
26,106,53
27,105,54
26,104,53
27,106,54
28,100,53
27,99,53
28,97,56
28,96,54
27,102,55
27,108,56
27,109,55
27,104,54
28,100,57
26,104,56
27,113,56
27,107,56
27,105,55
28,109,56
26,109,56
27,106,56
26,108,56
28,105,57
27,108,56
26,114,55
26,114,55
26,111,57
27,122,57
28,121,56
29,116,56
28,119,54
28,120,56
26,120,55
27,119,56
28,116,55
26,122,55
28,119,54
27,116,53
28,115,54
27,122,55
28,115,57
28,114,59
28,119,61
27,114,58
28,110,57
26,111,59
27,105,57
26,112,57
28,115,56
28,105,55
27,108,54
27,108,55
27,109,55
27,106,53
28,102,54
26,109,53
26,106,52
27,109,53
27,109,52
28,104,52
26,108,53
26,107,52
27,105,51
26,109,51
27,108,52
28,106,51
28,107,52
27,109,50
28,109,50
28,102,48
28,103,50
28,102,50
27,105,51
26,111,48
28,104,48
28,100,49
29,99,48
28,99,49
28,104,49
28,105,48
28,104,47
27,110,47
28,102,48
28,102,48
27,104,48
27,112,49
25,107,47
27,110,46
28,107,48
26,104,47
27,108,47
27,112,48
29,102,46
27,101,46
28,105,47
27,103,46
28,103,49
28,108,48
26,107,49
26,106,48
26,104,49
26,106,49
29,106,51
27,106,50
26,101,53
26,104,51
27,104,52
26,111,52
26,112,53
27,110,53
28,109,53
27,114,52
28,108,53
26,112,54
28,109,54
27,116,54
26,119,54
26,121,55
27,119,54
27,123,53
28,128,56
27,128,53
28,127,54
27,132,55
27,131,54
27,128,55
28,131,55
28,140,54
27,137,54
28,134,57
26,131,53
28,132,54
27,137,56
27,138,53
29,131,54
27,134,55
29,128,53
27,125,54
28,119,53
28,119,52
27,113,53
29,119,52
28,116,53
28,113,52
27,112,53
27,111,51
26,106,50
23,106,51
29,104,51
27,104,51
27,103,50
27,105,51
28,102,49
26,103,47
28,101,48
27,104,49
26,100,48
28,94,48
28,97,48
28,92,48
28,93,49
29,90,48
29,88,48
28,88,47
28,94,47
27,98,47
27,96,48
28,100,47
28,97,48
28,89,48
29,89,48
27,90,48
26,93,48
28,97,49
28,96,50
26,97,49
29,92,50
27,91,51
28,90,50
27,98,53
27,100,53
26,98,53
26,103,52
27,110,52
28,102,55
27,103,52
27,110,54
29,112,53
28,112,54
28,108,55
27,107,55
25,110,53
27,106,52
28,107,55
26,111,56
28,112,55
28,118,54
27,116,55
26,120,54
27,115,56
27,114,56
27,119,57
28,112,56
27,118,53
27,125,56
28,122,54
27,118,54
28,116,53
29,122,55
26,130,57
28,125,55
27,124,54
29,134,56
28,136,55
27,127,56
26,125,56
26,127,54
27,129,54
27,128,54
28,135,55
28,103,48
27,104,49
28,100,48
28,101,50
27,93,51
27,95,50
27,97,50
29,93,52
28,97,52
27,93,51
28,91,51
27,96,53
29,102,52
28,96,52
27,99,51
28,103,51
29,94,52
27,98,52
29,109,54
28,101,51
27,108,51
28,103,52
27,106,52
28,114,53
27,107,53
27,105,53
28,103,53
26,110,53
27,105,55
26,97,53
27,96,52
28,91,51
25,105,53
28,108,52
27,104,52
26,104,50
29,104,51
28,102,53
28,101,52
29,97,52
26,101,52
27,96,50
27,96,52
26,96,53
28,101,52
27,95,53
27,96,52
27,93,52
27,103,51
26,101,52
28,98,49
27,98,50
27,101,51
28,102,51
27,106,55
26,111,49
26,103,51
26,101,51
26,109,50
26,102,49
28,104,52
27,107,50
31,114,50
27,111,51
26,115,49
27,107,51
28,104,49
26,108,50
26,103,49
27,100,49
27,105,49
28,110,47
26,111,50
28,112,48
26,109,50
27,104,51
28,97,50
25,105,47
27,102,47
26,105,49
27,106,49
27,112,49
27,110,49
27,115,47
28,115,47
27,118,47
28,121,50
25,133,47
27,137,49
27,136,48
28,116,47
27,113,47
27,111,48
29,106,48
27,107,46
27,102,47
28,103,47
27,103,49
27,103,48
27,108,48
27,103,49
27,98,51
27,101,51
27,96,51
28,105,50
27,97,53
28,100,53
29,98,52
28,97,51
27,101,50
27,97,52
27,93,53
27,95,54
27,96,53
28,104,52
28,96,53
25,102,52
27,106,54
28,108,53
28,100,53
26,99,54
28,98,54
29,102,53
27,106,52
28,107,53
28,99,52
27,95,52
26,97,53
28,96,53
28,107,52
28,111,53
26,115,53
28,108,54
27,101,55
27,103,53
28,100,54
26,98,53
26,99,51
26,103,54
26,104,52
27,98,53
26,96,52
26,97,52
28,90,53
28,100,53
26,97,52
27,93,53
27,94,53
27,99,52
27,99,51
28,99,49
27,108,51
27,111,49
27,111,51
28,113,52
27,116,50
28,120,50
29,114,52
28,109,50
26,112,50
29,103,50
28,113,50
28,113,51
28,112,50
27,119,50
29,118,57
28,126,49
28,123,50
28,117,48
27,122,49
27,121,50
27,128,51
29,129,51
26,130,49
28,133,49
28,127,47
25,134,50
27,129,50
27,129,50
26,134,49
28,97,53
28,93,56
27,99,54
28,93,52
28,92,54
28,98,54
27,96,53
29,98,53
35,95,54
26,94,52
28,89,52
28,90,54
26,92,52
25,89,49
28,92,51
29,90,52
27,87,51
26,88,51
26,85,51
28,92,50
27,95,52
28,93,51
28,93,50
27,90,49
27,92,49
28,92,49
28,89,48
27,90,50
28,85,49
28,82,48
28,83,49
27,84,48
26,86,48
28,81,47
27,86,48
28,81,47
27,83,47
27,88,48
27,84,49
28,85,48
27,83,51
27,84,51
27,88,48
26,86,50
28,86,52
28,81,52
26,85,52
28,86,52
28,81,53
27,80,53
28,80,52
28,78,54
27,78,54
28,77,55
27,80,61
27,84,54
26,89,54
28,88,56
28,85,55
28,87,55
27,87,56
28,83,55
27,84,56
28,80,55
27,88,55
26,90,55
28,87,55
28,99,56
27,94,55
28,95,55
27,96,56
27,99,57
28,98,55
30,96,56
26,104,54
27,101,56
28,98,55
27,100,54
27,102,54
28,100,54
28,98,56
27,110,55
26,110,54
27,107,54
28,107,54
28,116,53
26,126,59
26,127,53
28,125,53
27,128,55
27,110,53
27,118,54
29,120,55
28,112,56
27,121,55
28,110,57
26,110,57
28,111,55
28,112,54
27,107,53
27,104,52
27,104,53
27,103,52
28,101,54
27,106,53
26,108,53
27,107,53
26,101,52
28,96,52
26,97,51
26,95,52
27,99,51
27,100,50
28,97,52
28,96,50
28,99,51
29,97,52
27,98,50
27,99,50
25,99,48
26,101,49
29,97,49
26,99,49
29,96,52
26,93,47
27,90,49
28,98,49
26,97,48
26,98,49
29,97,50
27,97,49
27,97,48
28,95,47
29,95,48
32,98,48
27,100,48
27,100,47
28,99,47
26,102,45
28,94,47
27,96,49
27,91,48
27,95,51
28,92,50
27,95,49
27,92,50
26,91,51
27,89,53
27,92,53
27,103,51
27,99,52
27,101,52
28,99,52
27,103,54
27,100,52
27,102,53
27,103,54
27,101,56
27,108,53
28,104,56
26,109,55
28,113,52
29,118,55
27,121,55
27,121,56
27,120,56
27,130,58
28,125,57
27,124,57
27,122,56
28,116,56
28,117,56
29,120,55
29,127,57
28,130,56
27,131,57
29,124,55
27,126,56
27,130,55
26,129,55
