v1,v2,v3
31,194,53
31,205,46
32,214,45
30,207,47
32,209,46
31,229,48
36,219,48
31,221,46
31,222,46
32,144,59
30,140,59
29,137,60
31,134,60
30,131,61
30,134,59
30,131,61
29,133,60
30,130,59
30,129,60
29,127,58
31,124,58
31,125,57
30,121,58
30,122,56
28,121,56
29,116,56
30,118,55
29,113,56
30,119,54
30,121,53
30,114,54
30,116,54
31,117,54
30,115,54
30,116,52
30,114,52
30,116,54
31,114,51
29,112,53
30,109,52
31,103,54
31,110,51
29,108,51
31,107,50
30,110,51
29,108,50
30,106,51
29,105,50
31,108,50
29,110,49
29,105,50
32,108,49
28,108,47
30,107,49
30,107,51
31,108,49
31,114,49
29,116,47
31,114,49
31,124,49
29,129,48
29,127,48
31,121,48
29,126,50
30,117,48
30,120,48
31,121,49
30,115,47
30,114,47
29,109,46
30,116,49
30,115,47
29,116,48
29,116,49
30,118,50
28,122,50
31,121,47
30,118,47
30,123,48
30,125,49
30,121,46
31,128,48
30,122,47
30,129,47
31,123,49
29,121,47
29,122,46
30,118,48
31,119,48
29,118,47
29,125,46
30,127,48
31,124,48
30,134,48
29,130,47
31,130,48
31,135,48
29,136,47
31,140,47
31,102,55
29,101,54
30,96,54
30,103,55
29,102,56
30,97,57
30,93,57
30,100,55
31,100,58
30,100,56
30,99,58
29,102,57
30,103,57
31,99,57
31,98,58
30,96,57
30,95,55
30,97,55
29,98,57
30,96,56
28,94,55
29,100,54
29,102,55
30,101,55
30,103,54
31,98,56
30,105,55
31,108,55
28,113,56
29,107,54
31,103,54
31,107,53
29,111,56
29,118,55
29,120,53
30,123,53
32,125,52
28,127,52
31,124,53
29,119,52
24,116,52
30,119,54
28,120,52
29,119,52
31,117,52
30,122,52
31,120,51
29,117,52
30,122,50
31,121,52
29,118,50
29,121,50
29,127,51
30,120,50
29,118,49
29,119,49
29,117,51
30,118,51
29,122,50
29,117,49
29,116,49
31,123,50
30,119,51
29,122,50
30,120,50
30,118,49
31,115,48
30,115,50
30,113,49
30,115,49
29,112,48
28,109,48
30,113,48
30,107,50
30,112,49
28,110,50
29,112,47
30,109,50
30,111,49
28,113,45
30,118,48
30,117,50
30,114,48
30,121,47
29,129,47
30,119,48
29,125,48
28,129,49
31,130,48
27,130,47
32,110,55
30,105,51
31,106,53
31,100,53
29,101,55
30,97,54
29,105,54
30,99,52
30,96,52
29,101,53
27,100,52
28,96,52
31,101,52
30,97,50
30,96,51
30,95,51
30,97,51
30,99,51
31,93,49
30,99,50
31,102,49
30,97,49
30,105,49
30,99,49
29,102,48
29,104,48
30,100,48
29,103,49
28,101,48
30,99,47
30,93,50
30,98,46
29,94,47
28,109,46
29,110,46
30,106,46
31,107,47
29,108,45
29,116,46
29,124,46
30,125,45
30,128,46
29,132,46
28,135,46
28,139,46
28,137,49
30,141,50
30,146,49
29,141,50
31,141,51
31,139,50
30,147,52
29,152,51
29,159,51
29,157,53
27,156,51
29,157,52
28,157,52
29,151,54
31,151,53
30,151,52
29,155,53
29,149,54
28,156,54
30,149,55
30,148,52
29,146,55
29,145,54
30,149,55
30,149,53
28,146,55
30,146,58
30,145,55
28,147,56
29,146,54
30,146,55
28,152,53
29,153,54
28,152,55
29,152,53
29,156,53
28,157,53
29,155,53
28,161,53
29,161,54
29,154,54
29,155,54
27,159,51
31,159,53
29,157,53
31,107,53
31,115,52
32,106,52
30,111,53
30,117,53
32,104,55
31,107,53
30,104,53
31,102,54
30,104,51
31,97,52
30,109,52
29,103,51
29,103,51
30,99,50
31,100,51
29,103,50
31,97,49
30,91,45
32,92,51
30,90,48
30,97,47
30,93,48
31,93,49
30,97,47
30,96,47
29,93,47
31,91,47
31,95,47
31,95,48
31,88,46
31,92,46
31,93,48
32,89,47
30,90,48
30,84,47
30,97,46
31,91,48
32,93,46
31,102,48
32,98,48
32,103,49
30,100,47
31,95,50
30,99,51
30,103,51
30,107,52
31,103,50
30,112,52
30,113,53
30,113,52
32,112,51
31,107,53
30,107,54
30,103,53
29,102,53
30,103,53
30,102,53
31,101,54
31,100,55
31,100,54
31,106,54
30,105,54
31,108,55
31,111,56
31,112,55
30,110,54
29,103,55
30,112,56
31,111,56
31,114,55
32,115,55
30,117,55
29,116,54
31,114,55
30,114,55
30,123,55
32,119,56
32,130,55
31,123,54
30,130,53
